matched_id,matched_naziv,source_name,grupa,page,kcal,p_g,m_g,uh_g,holesterol_mg,match_type
pirinac,pirinač,PIRINAČ - polirani,ŽITARICE I PROIZVODI OD ŽITA,1,349.0,7.0,1.0,78.0,0.0,manual
ovsene_pahuljice,ovsene pahuljice,ZOBENE PAHULJICE,ŽITARICE I PROIZVODI OD ŽITA,1,372.0,8.0,7.5,72.8,0.0,manual
kukuruzni_griz,kukuruzni griz,KUKURUZNI GRIZ,ŽITARICE I PROIZVODI OD ŽITA,1,368.0,7.8,2.6,76.8,0.0,exact
psenicno_brasno,pšenično brašno,PŠENIČNO BRAŠNO - belo,ŽITARICE I PROIZVODI OD ŽITA,1,350.0,9.8,1.2,80.1,0.0,manual
psenicno_brasno,pšenično brašno,PŠENIČNO BRAŠNO - polubelo,ŽITARICE I PROIZVODI OD ŽITA,1,337.0,11.3,1.2,74.8,0.0,manual
psenicno_brasno,pšenično brašno,PŠENIČNO BRAŠNO - crno,ŽITARICE I PROIZVODI OD ŽITA,1,327.0,12.8,2.0,68.8,0.0,manual
kukuruzno_brasno,kukuruzno brašno,KUKURUZNO BRAŠNO,ŽITARICE I PROIZVODI OD ŽITA,1,362.0,8.7,0.8,78.1,0.0,exact
teletina,teletina,TELETINA - mršava,"MESO, RIBA, JAJA",1,115.4,21.3,3.1,0.0,68.0,manual
teletina,teletina,TELETINA - srednje masna,"MESO, RIBA, JAJA",1,163.4,17.0,6.0,0.0,68.0,manual
gove_a_jetra,goveđa jetra,GOVEĐA JETRA,"MESO, RIBA, JAJA",1,166.6,21.1,7.8,2.2,270.0,exact
mleko,mleko,"KRAVLJE MLEKO 1,8% M.M.",MLEKO I MLEČNI PROIZVODI,2,50.0,3.5,1.8,5.0,3.0,manual
mleko,mleko,"KRAVLJE MLEKO 2,2% M.M.",MLEKO I MLEČNI PROIZVODI,2,51.0,2.9,2.2,4.5,,manual
mleko,mleko,"KRAVLJE MLEKO 2,8% M.M.",MLEKO I MLEČNI PROIZVODI,2,58.5,3.3,2.8,4.7,13.0,manual
mleko,mleko,"KRAVLJE MLEKO 3,2% M.M",MLEKO I MLEČNI PROIZVODI,2,62.2,3.3,3.3,4.7,13.0,manual
jogurt,jogurt,"JOGURT 3,2% M.M.",MLEKO I MLEČNI PROIZVODI,2,62.2,3.5,3.2,4.7,13.0,manual
kisela_pavlaka,kisela pavlaka,KISELA PAVLAKA 20% M.M.,MLEKO I MLEČNI PROIZVODI,2,210.2,2.8,20.0,3.9,66.0,manual
narandza,narandža,NARANDŽA - sveža,VOĆE I VOĆNI PROIZVOD,2,48.0,0.7,0.2,11.0,,manual
jagode,jagode,JAGODE,VOĆE I VOĆNI PROIZVOD,2,26.0,0.6,0.0,6.2,0.0,exact
maline,maline,MALINE,VOĆE I VOĆNI PROIZVOD,2,25.0,0.9,0.0,5.6,0.0,exact
jabuka,jabuka,JABUKA,VOĆE I VOĆNI PROIZVOD,2,40.0,0.0,0.0,10.0,0.0,exact
kruska,kruška,KRUŠKA,VOĆE I VOĆNI PROIZVOD,2,29.0,0.2,0.0,7.6,0.0,exact
