source_name,grupa,page,matched_id,matched_naziv,status,match_type,kcal,p_g,m_g,uh_g,holesterol_mg,suggestions
HLEB - pšenični beli,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,234.0,8.0,2.0,46.0,0.0,
HLEB - pšenični crni,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,222.0,8.0,2.0,43.0,0.0,
HLEB - graham,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,206.0,7.0,2.0,40.0,0.0,
PECIVO od pšeničnog brašna,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,256.0,8.0,4.0,47.0,0.0,
TOST,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,297.0,9.6,1.7,64.9,0.0,
TESTENINA bez jaja,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,336.0,10.8,0.3,77.4,0.0,
TESTENINA sa jajima,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,368.0,13.0,2.4,78.6,,
PIRINAČ - polirani,ŽITARICE I PROIZVODI OD ŽITA,1,pirinac,pirinač,applied,manual,349.0,7.0,1.0,78.0,0.0,
Cheerios Honey Nut PAHULJICE,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,374.0,7.0,3.7,78.2,,
ZOBENE PAHULJICE,ŽITARICE I PROIZVODI OD ŽITA,1,ovsene_pahuljice,ovsene pahuljice,applied,manual,372.0,8.0,7.5,72.8,0.0,ovsene_pahuljice:ovsene pahuljice:0.88
PŠENIČNE KLICE,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,287.0,27.0,11.0,20.0,0.0,
PŠENIČNI GRIZ,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,333.0,11.0,1.0,70.0,0.0,
KUKURUZNI GRIZ,ŽITARICE I PROIZVODI OD ŽITA,1,kukuruzni_griz,kukuruzni griz,applied,exact,368.0,7.8,2.6,76.8,0.0,kukuruzni_griz:kukuruzni griz:1.00
PŠENIČNO BRAŠNO - belo,ŽITARICE I PROIZVODI OD ŽITA,1,psenicno_brasno,pšenično brašno,applied,manual,350.0,9.8,1.2,80.1,0.0,psenicno_brasno:pšenično brašno:0.86
PŠENIČNO BRAŠNO - polubelo,ŽITARICE I PROIZVODI OD ŽITA,1,psenicno_brasno,pšenično brašno,applied,manual,337.0,11.3,1.2,74.8,0.0,psenicno_brasno:pšenično brašno:0.77
PŠENIČNO BRAŠNO - crno,ŽITARICE I PROIZVODI OD ŽITA,1,psenicno_brasno,pšenično brašno,applied,manual,327.0,12.8,2.0,68.8,0.0,psenicno_brasno:pšenično brašno:0.86
KUKURUZNO BRAŠNO,ŽITARICE I PROIZVODI OD ŽITA,1,kukuruzno_brasno,kukuruzno brašno,applied,exact,362.0,8.7,0.8,78.1,0.0,kukuruzno_brasno:kukuruzno brašno:1.00
SOJINO BRAŠNO - punomasno,ŽITARICE I PROIZVODI OD ŽITA,1,,,review,,460.0,37.0,24.0,24.0,0.0,
GOVEDINA - mršava,"MESO, RIBA, JAJA",1,,,review,,131.2,19.0,4.0,0.0,68.0,
GOVEDINA - srednje masna,"MESO, RIBA, JAJA",1,,,review,,218.0,18.8,15.4,0.0,68.0,
GOVEDINA - masna,"MESO, RIBA, JAJA",1,,,review,,332.7,15.8,29.2,0.0,65.0,
SVINJETINA - mršava,"MESO, RIBA, JAJA",1,,,review,,181.7,20.0,9.0,0.0,60.0,
SVINJETINA - masna,"MESO, RIBA, JAJA",1,,,review,,459.3,12.0,42.0,0.0,60.0,
TELETINA - mršava,"MESO, RIBA, JAJA",1,teletina,teletina,applied,manual,115.4,21.3,3.1,0.0,68.0,
TELETINA - srednje masna,"MESO, RIBA, JAJA",1,teletina,teletina,applied,manual,163.4,17.0,6.0,0.0,68.0,
JAGNJETINA - mršava (file),"MESO, RIBA, JAJA",1,,,review,,123.9,20.0,4.6,0.0,71.0,
JAGNJEĆE GRUDI,"MESO, RIBA, JAJA",1,,,review,,245.4,18.0,18.0,0.0,71.0,
