naziv;kcal;uh_g;p_g;m_g;dv_g;gi;go;napomena
so;;;;;;;;dopuni iz kuvara
crni biber;;;;;;;;dopuni iz kuvara
ulje;;;;;;;;dopuni iz kuvara
voda;;;;;;;;dopuni iz kuvara
crni luk;;;;;;;;dopuni iz kuvara
slatka mlevena paprika;;;;;;;;dopuni iz kuvara
šećer;;;;;;;;dopuni iz kuvara
mleko;;;;;;;;dopuni iz kuvara
pasirani paradajz;;;;;;;;dopuni iz kuvara
jaja;;;;;;;;dopuni iz kuvara
limunov sok;;;;;;;;dopuni iz kuvara
brašno;;;;;;;;dopuni iz kuvara
puter;;;;;;;;dopuni iz kuvara
šargarepa;;;;;;;;dopuni iz kuvara
krompir;;;;;;;;dopuni iz kuvara
jogurt;;;;;;;;dopuni iz kuvara
prašak za pecivo;;;;;;;;dopuni iz kuvara
sirće alkoholno;;;;;;;;dopuni iz kuvara
lovorov list;;;;;;;;dopuni iz kuvara
beli luk;;;;;;;;dopuni iz kuvara
paradajz pire;;;;;;;;dopuni iz kuvara
med;;;;;;;;dopuni iz kuvara
šampinjoni;;;;;;;;dopuni iz kuvara
pirinač;;;;;;;;dopuni iz kuvara
tikvice;;;;;;;;dopuni iz kuvara
vanilin šećer;;;;;;;;dopuni iz kuvara
beli sir;;;;;;;;dopuni iz kuvara
celer koren;;;;;;;;dopuni iz kuvara
griz;;;;;;;;dopuni iz kuvara
maslinovo ulje;;;;;;;;dopuni iz kuvara
grašak zamrznut;;;;;;;;dopuni iz kuvara
karfiol;;;;;;;;dopuni iz kuvara
kukuruz šećerac (oceđen);;;;;;;;dopuni iz kuvara
pečena crvena paprika (oljuštena);;;;;;;;dopuni iz kuvara
bundeva očišćena;;;;;;;;dopuni iz kuvara
cimet mleveni;;;;;;;;dopuni iz kuvara
limun;;;;;;;;dopuni iz kuvara
crvena paprika;;;;;;;;dopuni iz kuvara
leblebije kuvane (oceđene);;;;;;;;dopuni iz kuvara
jaje;;;;;;;;dopuni iz kuvara
praziluk;;;;;;;;dopuni iz kuvara
beli pasulj kuvan;;;;;;;;dopuni iz kuvara
jabuke;;;;;;;;dopuni iz kuvara
spanać svež;;;;;;;;dopuni iz kuvara
kačkavalj;;;;;;;;dopuni iz kuvara
paradajz;;;;;;;;dopuni iz kuvara
brokoli;;;;;;;;dopuni iz kuvara
peršun;;;;;;;;dopuni iz kuvara
beli kupus;;;;;;;;dopuni iz kuvara
kore za pitu;;;;;;;;dopuni iz kuvara
šećer u prahu;;;;;;;;dopuni iz kuvara
junetina (plećka);;;;;;;;dopuni iz kuvara
kakao;;;;;;;;dopuni iz kuvara
pileći file;;;;;;;;dopuni iz kuvara
plavi patlidžan;;;;;;;;dopuni iz kuvara
ćureći file;;;;;;;;dopuni iz kuvara
jabuka;;;;;;;;dopuni iz kuvara
krastavac;;;;;;;;dopuni iz kuvara
ajvar;;;;;;;;dopuni iz kuvara
feta sir;;;;;;;;dopuni iz kuvara
kokos brašno;;;;;;;;dopuni iz kuvara
mlevena junetina;;;;;;;;dopuni iz kuvara
boranija zamrznuta;;;;;;;;dopuni iz kuvara
dimljena mlevena paprika;;;;;;;;dopuni iz kuvara
kukuruzno brašno;;;;;;;;dopuni iz kuvara
kvasac svež;;;;;;;;dopuni iz kuvara
paškanat;;;;;;;;dopuni iz kuvara
svinjska plećka;;;;;;;;dopuni iz kuvara
ulje (za prženje);;;;;;;;dopuni iz kuvara
pšenično brašno;;;;;;;;dopuni iz kuvara
batat;;;;;;;;dopuni iz kuvara
orasi mleveni;;;;;;;;dopuni iz kuvara
orasi seckani;;;;;;;;dopuni iz kuvara
ovsene pahuljice;;;;;;;;dopuni iz kuvara
borovnice;;;;;;;;dopuni iz kuvara
kuvana cvekla;;;;;;;;dopuni iz kuvara
prokelj;;;;;;;;dopuni iz kuvara
senf;;;;;;;;dopuni iz kuvara
banane;;;;;;;;dopuni iz kuvara
mleveni keks;;;;;;;;dopuni iz kuvara
susam;;;;;;;;dopuni iz kuvara
celer stabljika;;;;;;;;dopuni iz kuvara
hleb;;;;;;;;dopuni iz kuvara
palenta (kukuruzna krupica);;;;;;;;dopuni iz kuvara
pavlaka za kuvanje;;;;;;;;dopuni iz kuvara
pileći bataci bez kostiju;;;;;;;;dopuni iz kuvara
proso;;;;;;;;dopuni iz kuvara
tost hleb;;;;;;;;dopuni iz kuvara
ulje (za tiganj);;;;;;;;dopuni iz kuvara
blitva;;;;;;;;dopuni iz kuvara
maline;;;;;;;;dopuni iz kuvara
prezle;;;;;;;;dopuni iz kuvara
teletina (plećka);;;;;;;;dopuni iz kuvara
ulje (u smesu);;;;;;;;dopuni iz kuvara
višnje (bez koštice);;;;;;;;dopuni iz kuvara
šljive;;;;;;;;dopuni iz kuvara
breskve;;;;;;;;dopuni iz kuvara
crni biber u zrnu;;;;;;;;dopuni iz kuvara
džem od kajsije;;;;;;;;dopuni iz kuvara
ječam;;;;;;;;dopuni iz kuvara
kruške;;;;;;;;dopuni iz kuvara
puter (mekan);;;;;;;;dopuni iz kuvara
som (komadi);;;;;;;;dopuni iz kuvara
sočivo suvo;;;;;;;;dopuni iz kuvara
svinjski but;;;;;;;;dopuni iz kuvara
tunjevina (oceđena);;;;;;;;dopuni iz kuvara
bulgur;;;;;;;;dopuni iz kuvara
cvekla;;;;;;;;dopuni iz kuvara
kajsije;;;;;;;;dopuni iz kuvara
kisela pavlaka;;;;;;;;dopuni iz kuvara
kiseli krastavci;;;;;;;;dopuni iz kuvara
kruška;;;;;;;;dopuni iz kuvara
kus-kus;;;;;;;;dopuni iz kuvara
ljuta mlevena paprika;;;;;;;;dopuni iz kuvara
nana suva;;;;;;;;dopuni iz kuvara
pastrmka file;;;;;;;;dopuni iz kuvara
pileći karabataci;;;;;;;;dopuni iz kuvara
suvo grožđe;;;;;;;;dopuni iz kuvara
beli pasulj suvi;;;;;;;;dopuni iz kuvara
crveno sočivo;;;;;;;;dopuni iz kuvara
